詞條,定義,反義詞
不可,表不允許後述事件發生。,容許
不可,表不允許後述事件發生。,容
不可以,表不允許後述事件發生。,使得
不可以,表不允許後述事件發生。,容許
不可以,表不允許後述事件發生。,可以
不可以,表不允許後述事件發生。,容
不可以,表不允許後述事件發生。,使得
不可以,表不允許後述事件發生。,容許
不可以,表不允許後述事件發生。,容
不可能,表不會成為事實或不是事實。,可能
不可能,表不會成為事實或不是事實。,可能
不可能,形容不會實現的。,可能
不可能,形容不會實現的。,可能
不同,形容有差別的。,同
不同,形容有差別的。,同
不同,形容有差別的。,相同
不同,形容有差別的。,一樣
不同,形容有差別的。,平
不客氣,不遵守應有的謙讓禮儀。,客氣
不客氣,不遵守應有的謙讓禮儀。,客氣
不容,不允許後述事件發生。,容許
不容,不允許後述事件發生。,使得
不容,不允許後述事件發生。,可以
不容,不允許後述事件發生。,容
不容,不允許後述事件發生。,容
不容,不允許後述事件發生。,使得
不容,不允許後述事件發生。,容許
不屑,認為不值得去做而沒做。,屑
不屑,認為不值得去做而沒做。,屑
不幸,形容運氣不好。,有幸
不幸,形容運氣不好。,塞
不幸,形容運氣不好。,賽
不幸,形容運氣不好。,屎
不彰,形容無法輕易觀察到的。,明顯
不彰,形容無法輕易觀察到的。,顯
不忘,一直記得。,忘
不忘,一直記得。,忘記
不忘,一直記得。,遺忘
不忘,一直記得。,遺忘
不忘,一直記得。,忘記
不忘,一直記得。,忘
不易,形容特定事件無法輕易達成。,容易
不易,形容特定事件無法輕易達成。,易
不易,形容特定事件無法輕易達成。,好
不易,形容特定事件無法輕易達成。,好
不易,形容特定事件無法輕易達成。,容易
不易,形容特定事件無法輕易達成。,易
不易,形容特定事件無法輕易達成。,好
不易,形容後述事件發生的可能性小。,容易
不易,形容後述事件發生的可能性小。,易
不易,形容後述事件發生的可能性小。,易
不易,形容後述事件發生的可能性小。,容易
不止,表超過後述數目。,單
不止,表超過後述數目。,光
不止,表超過後述數目。,單單
不止,表超過後述數目。,只
不止,表超過後述數目。,僅
不止,表超過後述數目。,淨
不止,表超過後述數目。,單單
不止,表超過後述數目。,僅
不止,表超過後述數目。,只
不止,表超過後述數目。,單
不止,表超過後述數目。,光
不止,表超過後述數目。,淨
不祇,表超過後述數目。,單
不祇,表超過後述數目。,光
不祇,表超過後述數目。,單單
不祇,表超過後述數目。,只
不祇,表超過後述數目。,僅
不祇,表超過後述數目。,淨
不祇,表超過後述數目。,單單
不祇,表超過後述數目。,僅
不祇,表超過後述數目。,只
不祇,表超過後述數目。,單
不祇,表超過後述數目。,光
不祇,表超過後述數目。,淨
不肯,表不同意他人的要求。,肯
不能,表不具備完成特定事件能力。,行
不能,表不具備完成特定事件能力。,能
不能,表不具備完成特定事件能力。,能夠
不能,表不具備完成特定事件能力。,成
不能,表不具備完成特定事件能力。,能
不能,表不具備完成特定事件能力。,能夠
不能,表不具備完成特定事件能力。,成
不能,表不具備完成特定事件能力。,行
不能,表不具備達到後述事件成立的條件。,能夠
不能,表不具備達到後述事件成立的條件。,能
不能,表不具備達到後述事件成立的條件。,能
不能,表不具備達到後述事件成立的條件。,能夠
不能,表不允許後述事件發生。,使得
不能,表不允許後述事件發生。,容許
不能,表不允許後述事件發生。,可以
不能,表不允許後述事件發生。,容
不能,表不允許後述事件發生。,使得
不能,表不允許後述事件發生。,容許
不能,表不允許後述事件發生。,容
不良,形容對特定對象的評價是負面的。,好
不良,形容對特定對象的評價是負面的。,佳
不良,形容對特定對象的評價是負面的。,良好
不良,形容對特定對象的評價是負面的。,優
不良,形容對特定對象的評價是負面的。,嘉
不良,形容對特定對象的評價是負面的。,良
不良,形容對特定對象的評價是負面的。,不錯
不良,形容對特定對象的評價是負面的。,好
不良,形容對特定對象的評價是負面的。,良
不良,形容對特定對象的評價是負面的。,佳
不良,形容對特定對象的評價是負面的。,良好
不良,形容對特定對象的評價是負面的。,優
不良,形容對特定對象的評價是負面的。,嘉
不良,形容對特定對象的評價是負面的。,不錯
不行,形容表示不同意或不允許。,行
不行,形容表示不同意或不允許。,好
不行,形容表示不同意或不允許。,成
不行,形容表示不同意或不允許。,好
不行,形容表示不同意或不允許。,成
不行,形容表示不同意或不允許。,行
不行,形容不具備完成特定事件能力的。,行
不行,形容不具備完成特定事件能力的。,能
不行,形容不具備完成特定事件能力的。,能夠
不行,形容不具備完成特定事件能力的。,成
不行,形容不具備完成特定事件能力的。,能
不行,形容不具備完成特定事件能力的。,能夠
不行,形容不具備完成特定事件能力的。,成
不行,形容不具備完成特定事件能力的。,行
不行,形容不適當的。,對
不行,形容不適當的。,是
不行,形容不適當的。,對
不行,形容不適當的。,是
不行,形容不適當的。,對
不行,形容不適當的。,是
不要,表心中存有不完成後述事件的願望。,想
不要,表心中存有不完成後述事件的願望。,要
不要,表心中存有不完成後述事件的願望。,想要
不要,表心中存有不完成後述事件的願望。,欲
不要,表心中存有不完成後述事件的願望。,希望
不要,表心中存有不完成後述事件的願望。,思
不要,表心中存有不完成後述事件的願望。,冀
不要,表心中存有不完成後述事件的願望。,企
不要,表心中存有不完成後述事件的願望。,想
不要,表心中存有不完成後述事件的願望。,想要
不要,表心中存有不完成後述事件的願望。,希望
不要,表心中存有不完成後述事件的願望。,要
不要,表心中存有不完成後述事件的願望。,欲
不要,表心中存有不完成後述事件的願望。,思
不要,表心中存有不完成後述事件的願望。,冀
不要,表心中存有不完成後述事件的願望。,企
不許,不允許後述事件發生。,使得
不許,不允許後述事件發生。,容許
不許,不允許後述事件發生。,可以
不許,不允許後述事件發生。,容
不許,不允許後述事件發生。,容
不許,不允許後述事件發生。,使得
不許,不允許後述事件發生。,容許
不許,不允許後述事件發生。,許可
不許,不允許後述事件發生。,許
不足,形容數量不夠多，未達到主觀標準。,足
不足,形容程度不夠高，未達到主觀標準。,足
不足,不夠好的特質。,長
不足,不夠好的特質。,優點
不足,不夠好的特質。,長
不錯,形容正確的。,錯
不錯,形容正確的。,錯
不錯,形容正確的。,錯
不錯,形容對特定對象的評價是正面的。,壞
不錯,形容對特定對象的評價是正面的。,差
不錯,形容對特定對象的評價是正面的。,柴
不錯,形容對特定對象的評價是正面的。,否
不錯,形容對特定對象的評價是正面的。,劣
不錯,形容對特定對象的評價是正面的。,菜
不錯,形容對特定對象的評價是正面的。,糟
不錯,形容對特定對象的評價是正面的。,惡
不錯,形容對特定對象的評價是正面的。,不良
不錯,形容對特定對象的評價是正面的。,孬
不錯,形容對特定對象的評價是正面的。,遜
不錯,形容對特定對象的評價是正面的。,差
不錯,形容對特定對象的評價是正面的。,劣
不錯,形容對特定對象的評價是正面的。,差
不錯,形容對特定對象的評價是正面的。,柴
不錯,形容對特定對象的評價是正面的。,不良
不錯,形容對特定對象的評價是正面的。,孬
不錯,形容對特定對象的評價是正面的。,壞
不錯,形容對特定對象的評價是正面的。,否
不錯,形容對特定對象的評價是正面的。,劣
不錯,形容對特定對象的評價是正面的。,菜
不錯,形容對特定對象的評價是正面的。,糟
不錯,形容對特定對象的評價是正面的。,惡
不錯,形容對特定對象的評價是正面的。,遜
不需,表前述對象不必仰賴後述對象。,需
不需,表前述對象不必仰賴後述對象。,需要
不需,表前述對象不必仰賴後述對象。,需
不需,表前述對象不必仰賴後述對象。,需要
不需,表前述對象不必仰賴後述對象。,需
不需,表前述對象不必仰賴後述對象。,需要
中,在前述對象所包含的空間範圍。,外
中,在前述對象所包含的空間範圍。,之外
中,在前述對象所包含的空間範圍。,以外
中,在前述對象所包含的空間範圍。,外面
中,在前述對象所包含的空間範圍。,以外
中,在前述對象所包含的空間範圍。,之外
中,在前述對象所包含的空間範圍。,外
中,在前述對象所包含的空間範圍。,外面
中,在前述的機構或領域範圍。,外
中,在前述的機構或領域範圍。,之外
中,在前述的機構或領域範圍。,以外
中,在前述的機構或領域範圍。,外面
中,在前述的機構或領域範圍。,以外
中,在前述的機構或領域範圍。,之外
中,在前述的機構或領域範圍。,外
中,在前述的機構或領域範圍。,外面
中央,最高行政機構，相對於地方政府。,地方
中央,最高行政機構，相對於地方政府。,地方
主,邀請並負責招待賓客的人，相對於客人。,客人
主,邀請並負責招待賓客的人，相對於客人。,客
主,邀請並負責招待賓客的人，相對於客人。,客人
主,邀請並負責招待賓客的人，相對於客人。,客
主人,邀請並負責招待賓客的人，相對於客人。,客
主人,邀請並負責招待賓客的人，相對於客人。,客人
主人,邀請並負責招待賓客的人，相對於客人。,客人
主人,邀請並負責招待賓客的人，相對於客人。,客
主要,形容在相關對象中最重要的。,次要
久,形容事件持續的時間間隔大。,淺
久,形容事件持續的時間間隔大。,短
久,形容事件持續的時間間隔大。,暫
久,形容事件持續的時間間隔大。,暫
久,形容事件持續的時間間隔大。,短
久,形容事件持續的時間間隔大。,淺
久,形容事件持續的時間間隔大。,暫
之上,高於前述物體的位置。,下
之上,高於前述物體的位置。,之下
之上,高於前述物體的位置。,下面
之上,高於前述物體的位置。,以下
之上,高於前述物體的位置。,下
之上,高於前述物體的位置。,之下
之上,高於前述物體的位置。,下面
之上,高於前述物體的位置。,以下
之上,高於前述物體的位置。,下
之上,高於前述物體的位置。,之下
之上,高於前述物體的位置。,下面
之上,高於前述物體的位置。,以下
之下,鄰近前述物體的底部或低於該物體位置。,上
之下,鄰近前述物體的底部或低於該物體位置。,之上
之下,鄰近前述物體的底部或低於該物體位置。,上面
之下,鄰近前述物體的底部或低於該物體位置。,以上
之下,比喻階級架構中低於前述階級的階級。,以上
之下,比喻階級架構中低於前述階級的階級。,以上
之下,被前述物體覆蓋住的物體的位置。,上
之下,被前述物體覆蓋住的物體的位置。,上面
之下,被前述物體覆蓋住的物體的位置。,上面
之下,被前述物體覆蓋住的物體的位置。,上
之內,在前述對象所包含的空間範圍。,外
之內,在前述對象所包含的空間範圍。,以外
之內,在前述對象所包含的空間範圍。,之外
之內,在前述對象所包含的空間範圍。,外面
之內,在前述對象所包含的空間範圍。,以外
之內,在前述對象所包含的空間範圍。,之外
之內,在前述對象所包含的空間範圍。,外
之內,在前述對象所包含的空間範圍。,外面
之內,在前述的機構或領域範圍。,外
之內,在前述的機構或領域範圍。,以外
之內,在前述的機構或領域範圍。,之外
之內,在前述的機構或領域範圍。,外面
之內,在前述的機構或領域範圍。,以外
之內,在前述的機構或領域範圍。,之外
之內,在前述的機構或領域範圍。,外
之內,在前述的機構或領域範圍。,外面
之前,早於特定參考時間點或事件。,後
之前,早於特定參考時間點或事件。,后
之前,早於特定參考時間點或事件。,之後
之前,早於特定參考時間點或事件。,之后
之前,早於特定參考時間點或事件。,以後
之前,早於特定參考時間點或事件。,以后
之前,早於特定參考時間點或事件。,以降
之前,早於特定參考時間點或事件。,以下
之前,早於特定參考時間點或事件。,後
之前,早於特定參考時間點或事件。,以後
之前,早於特定參考時間點或事件。,以降
之前,早於特定參考時間點或事件。,之後
